jogo,Coluna 2,Coluna 2,Data
1,PONTE PRETA/SP,GUARANI/SP,Sábado
2,PALMEIRAS/SP,JUVENTUDE/RS,Sábado
3,ESTONIA,ITALIA,Sábado
4,BULGARIA,TURQUIA,Sábado
5,ESPANHA,GEORGIA,Sábado
6,SERVIA/SER,ALBANIA,Sábado
7,PORTUGAL,IRLANDA,Sábado
8,NOVORIZONTINO/SP,OPERARIO/PR,Domingo
9,HOLANDA,FINLANDIA,Domingo
10,CRICIUMA/SC,AMERICA/MG,Domingo
11,CUIABA/MT,CORITIBA/PR,Domingo
12,ROMENIA,AUSTRIA,Domingo
13,DINAMARCA,GRECIA,Domingo
14,LITUANIA,POLONIA,Domingo
